City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
646,Jumla,NP,58.96,overcast clouds,29.2747,82.1838,Royal Garden Hotel
653,Pozega,HR,41.95,overcast clouds,45.3403,17.6853,NunaNina apartmani
656,Susangerd,IR,59.02,scattered clouds,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
662,Buraydah,SA,55.85,clear sky,26.326,43.975,فندق راحة السلام
670,Mantua,IT,50.27,few clouds,45.1667,10.7833,Hotel la Favorita
671,Fort-Shevchenko,KZ,44.06,overcast clouds,44.5086,50.263,Oasis hotel Bautino
673,San Angelo,US,57.54,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
681,Yarmouth,US,42.96,broken clouds,41.7057,-70.2286,Blue Rock Resort
684,Lompoc,US,56.12,fog,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
698,Yzeure,FR,37.29,clear sky,46.5644,3.355,Mercure Moulins Centre - Hôtel de Paris
699,Hutchinson,US,47.35,clear sky,38.0608,-97.9298,OYO Hotel Hutchinson KS West 4th Ave
705,Pirai Do Sul,BR,58.75,overcast clouds,-24.5261,-49.9486,Victor Hotel
