City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
132,Orapa,BW,2021-11-16 02:05:45,-21.2833,25.3667,78.28,37,19,8.23
133,Pacific Grove,US,2021-11-16 02:04:08,36.6177,-121.9166,64.81,88,1,1.99
134,Gerardmer,FR,2021-11-16 02:05:46,48.0735,6.8779,39.99,90,82,1.07
135,Pevek,RU,2021-11-16 02:05:46,69.7008,170.3133,20.5,86,100,9.82
136,Nakamura,JP,2021-11-16 02:06:47,32.9833,132.9333,65.61,50,5,4.27
137,Urengoy,RU,2021-11-16 02:06:47,65.9667,78.3667,3.87,96,100,10.63
138,Ust-Omchug,RU,2021-11-16 02:06:47,61.15,149.6333,8.35,92,100,5.26
139,Bousso,TD,2021-11-16 02:06:48,10.4795,16.7117,84.67,23,100,5.93
140,Tabas,IR,2021-11-16 02:06:48,33.5959,56.9244,55.04,30,100,2.86
141,Constitucion,CL,2021-11-16 02:06:48,-35.3333,-72.4167,56.03,55,0,13.96
142,Mitsamiouli,KM,2021-11-16 02:06:49,-11.3847,43.2844,78.93,80,1,9.73
143,Kuragino,RU,2021-11-16 02:06:49,53.8975,92.6725,26.08,74,100,14.81
144,Amudat,UG,2021-11-16 02:06:49,1.95,34.95,68.29,64,57,3.85
145,Beringovskiy,RU,2021-11-16 02:06:50,63.05,179.3167,27.95,96,100,12.46
146,Muskogee,US,2021-11-16 02:06:50,35.5834,-95.3336,63.14,70,1,6.91
147,Kapaa,US,2021-11-16 02:06:50,22.0752,-159.319,80.58,77,20,1.01
148,Longhua,CN,2021-11-16 02:06:51,23.6137,114.1919,73.27,42,32,2.26
149,Caravelas,BR,2021-11-16 02:06:51,-17.7125,-39.2481,70.9,77,100,8.1
150,Castilho,BR,2021-11-16 02:06:51,-20.8722,-51.4875,77.59,45,100,6.73
151,Havre-Saint-Pierre,CA,2021-11-16 02:06:52,50.2334,-63.5986,34.16,100,90,12.66
152,Nikolskoye,RU,2021-11-16 02:06:52,59.7035,30.7861,32.88,77,7,10.33
153,Leh,IN,2021-11-16 02:06:52,34.1667,77.5833,13.53,60,0,4.18
154,Dubrovnik,HR,2021-11-16 02:06:53,42.6481,18.0922,62.24,48,40,6.91
155,Zhuanghe,CN,2021-11-16 02:06:53,39.7008,122.9911,43.79,38,0,2.01
156,Manavalakurichi,IN,2021-11-16 02:06:53,8.1333,77.3,78.89,84,56,9.19
157,Rio Grande,BR,2021-11-16 02:06:54,-32.035,-52.0986,69.94,88,6,18.32
158,Korla,CN,2021-11-16 02:06:54,41.7597,86.1469,34.05,44,9,2.98
159,Lata,PT,2021-11-16 02:06:55,40.1629,-8.3327,56.07,70,100,3.8
160,Hamilton,US,2021-11-16 02:06:55,39.1834,-84.5333,38.98,88,90,0.0
161,Khatanga,RU,2021-11-16 02:06:55,71.9667,102.5,-26.7,100,100,2.82
